class,acc_mag_mean,acc_mag_std,acc_mag_max,acc_mag_p95,accY_mean,accY_std,accY_rate_below_neg3,accY_rate_above_pos3,accX_std,accX_max_abs,jerk_std,jerk_rms,gyroX_std,gyroY_std,gyroZ_std,spectral_energy_ratio_0.2_0.8hz
AGGRESSIVE,0.8408879501582858,0.7256805844471966,0.67327289602328,0.7975293440368479,-0.3543356457940072,0.8369579294573071,0.4989985621505067,0.20073369630833354,0.7067801498064832,0.5871277500940845,0.5699156983614311,0.5699260246289762,0.10428615481125203,0.3063939441162027,0.27613417385759276,-0.26388606881116033
NORMAL,-0.24514305216493798,-0.20483266757080257,-0.1894388079391685,-0.22002618971139312,0.15608523960489676,-0.23523183524357238,-0.17954621161490195,-0.04800153607373191,-0.3132571646299365,-0.2359857269367409,-0.15921378063979405,-0.15941145918850516,0.04296373000397805,-0.07004504653016132,0.01253326917446147,0.07921614502189837
SLOW,-0.4852346789047624,-0.42496110908227097,-0.3948258585373902,-0.47173142368220106,0.15574378680579368,-0.4910580923928847,-0.2564945880212885,-0.1255424789620681,-0.3088842824855441,-0.2789674252149255,-0.3352697934075541,-0.3350960585120515,-0.1279009586901156,-0.1945994482243307,-0.24522116480977327,0.15016561666615336
