feature,importance_mean,importance_std
accY_std,0.06822826477223044,0.02685654923156915
acc_mag_p95,0.02244467710723747,0.01809917785877904
spectral_energy_ratio_0.2_0.8hz,0.016215041300784425,0.011967568188812278
acc_mag_std,0.01223886067964641,0.012505453186961977
accY_mean,0.005589875775445426,0.010999046500388366
gyroZ_std,0.00031132516417174775,0.012539179521590376
gyroY_std,0.00019894519105502959,0.011831707391745895
accY_rate_above_pos3,0.0,0.0
accX_max_abs,-0.001351153229187139,0.014596376941485504
accY_rate_below_neg3,-0.0016754163723109875,0.003010346647690154
gyroX_std,-0.002476959507249512,0.010386328849795987
accX_std,-0.0029132660649092185,0.018364972891896404
acc_mag_max,-0.005499479079364071,0.014444557743141469
jerk_rms,-0.0059749861687689535,0.012996060968579267
acc_mag_mean,-0.013010598123157028,0.014622145771333878
jerk_std,-0.01731485514720043,0.00892622239034401
